Date,Confirmed,Deaths,Recovered
2021/7/18,104290,4848,98811
2021/7/19,104355,4848,98837
2021/7/20,104362,4848,98798
2021/7/21,104440,4848,98881
2021/7/22,104489,4848,98906
2021/7/23,104563,4851,98903
2021/7/24,104562,4848,98950
2021/7/25,104642,4848,98979
2021/7/26,104713,4848,98999
2021/7/27,104800,4848,99022
2021/7/28,104850,4848,99048
2021/7/29,104918,4848,99070
2021/7/30,104973,4848,99091
2021/7/31,105050,4848,99119
2021/8/1,105149,4848,99150
2021/8/2,105242,4848,99172
2021/8/3,105346,4848,99187
2021/8/4,105433,4848,99228
