time,value,value_trend
2021-05-13T14:00:00.000000Z,8.431023102,8.844438194291667
2021-05-13T15:00:00.000000Z,8.442450495,8.851164090104163
2021-05-13T16:00:00.000000Z,8.671410891,8.850815394541666
2021-05-13T17:00:00.000000Z,8.790759076,8.835703615520831
2021-05-13T18:00:00.000000Z,9.120559115,8.829370125041665
2021-05-13T19:00:00.000000Z,9.188826026,8.824139691291666
2021-05-13T20:00:00.000000Z,9.098248286,8.816277342541667
2021-05-13T21:00:00.000000Z,8.913366337,8.818948547145832
2021-05-13T22:00:00.000000Z,8.532531825,8.826728994312498
2021-05-13T23:00:00.000000Z,9.424219345,8.837219520166666
2021-05-14T00:00:00.000000Z,8.474628713,8.841271944625
2021-05-14T01:00:00.000000Z,8.836303631,8.837179550499998
2021-05-14T02:00:00.000000Z,9.15470297,8.844967617270832
2021-05-14T03:00:00.000000Z,9.118811881,8.86896916920833
2021-05-14T04:00:00.000000Z,8.640264027,8.888465426854165
2021-05-14T05:00:00.000000Z,8.618811881,8.899529840583332
2021-05-14T06:00:00.000000Z,9.036067892,8.906983355520833
2021-05-14T07:00:00.000000Z,8.516171617,8.900217621145831
2021-05-14T08:00:00.000000Z,9.063531353,8.884832325749997
2021-05-14T09:00:00.000000Z,8.992079208,8.877021809124997
2021-05-14T10:00:00.000000Z,8.894583576,8.884305844520831
2021-05-14T11:00:00.000000Z,9.047524752,8.891700948729163
2021-05-14T12:00:00.000000Z,8.502665651,8.90068151283333
2021-05-14T13:00:00.000000Z,8.502828854,8.91787515183333
2021-05-14T14:00:00.000000Z,8.964727723,8.919841598479163
2021-05-14T15:00:00.000000Z,9.060820367,8.911361694020831
2021-05-14T16:00:00.000000Z,8.988861386,8.915899336687499
2021-05-14T17:00:00.000000Z,9.00440044,8.938830765833332
2021-05-14T18:00:00.000000Z,9.264686468,8.954220027979165
2021-05-14T19:00:00.000000Z,8.719943423,8.9644697136875
2021-05-14T20:00:00.000000Z,8.82863671,8.968206649895832
2021-05-14T21:00:00.000000Z,8.808073115,8.958494741187497
2021-05-14T22:00:00.000000Z,8.987458746,8.956593006874998
2021-05-14T23:00:00.000000Z,9.324257426,8.959242977749998
2021-05-15T00:00:00.000000Z,9.005657709,8.966029561374999
2021-05-15T01:00:00.000000Z,9.130569307,8.986828305166664
2021-05-15T02:00:00.000000Z,8.954826733,8.996614495854164
2021-05-15T03:00:00.000000Z,8.911652704,8.991300203270832
2021-05-15T04:00:00.000000Z,9.065230052,8.989829976166664
2021-05-15T05:00:00.000000Z,9.294554455,8.997345945291665
2021-05-15T06:00:00.000000Z,9.099009901,9.00146219027083
2021-05-15T07:00:00.000000Z,8.945214522,9.001998191687498
2021-05-15T08:00:00.000000Z,8.813861386,9.009720873291666
2021-05-15T09:00:00.000000Z,8.775577557,9.022136778333333
2021-05-15T10:00:00.000000Z,9.01980198,9.032751253229167
2021-05-15T11:00:00.000000Z,9.04950495,9.030373245333331
2021-05-15T12:00:00.000000Z,8.826441467,9.032461865416666
2021-05-15T13:00:00.000000Z,9.17739274,9.039630874708331
2021-05-15T14:00:00.000000Z,8.75990099,9.047817608541665
2021-05-15T15:00:00.000000Z,9.010561056,9.063731850208333
2021-05-15T16:00:00.000000Z,8.968549796,9.084207958937498
2021-05-15T17:00:00.000000Z,9.385478548,9.0924577729375
2021-05-15T18:00:00.000000Z,9.081188119,9.086049141020831
2021-05-15T19:00:00.000000Z,8.92916984,9.076147659791667
2021-05-15T20:00:00.000000Z,8.99009901,9.067673374854165
2021-05-15T21:00:00.000000Z,9.242574257,9.067205828104166
